iter	RMSE
0	10.18594527
1	10.17936307
2	10.17799032
3	10.17613297
4	10.17036617
5	10.16570584
6	10.16353979
7	10.16063204
8	10.15629134
9	10.15258775
10	10.14957102
11	10.14589055
12	10.14351152
13	10.13991617
14	10.13886258
15	10.13867358
16	10.13457377
17	10.13111859
18	10.13033974
19	10.13010308
20	10.12705284
21	10.12522778
22	10.12135615
23	10.11774162
24	10.11409105
25	10.11145957
26	10.10792119
27	10.10626026
28	10.10414004
29	10.10372082
30	10.10156087
31	10.10129609
32	10.09937499
33	10.09870871
34	10.0955296
35	10.09315714
36	10.09017604
37	10.08814231
38	10.08518318
39	10.08455138
40	10.0820386
41	10.08074307
42	10.07901406
43	10.07737673
44	10.07567912
45	10.07374701
46	10.07196665
47	10.06907175
48	10.06820166
49	10.06586706
50	10.06585403
51	10.06561347
52	10.06363631
53	10.06354699
54	10.0614276
55	10.05865392
56	10.05591496
57	10.05584418
58	10.05377455
59	10.05089435
60	10.05029731
61	10.04852712
62	10.04709565
63	10.04543826
64	10.04514479
65	10.04411221
66	10.0435766
67	10.04098796
68	10.04083582
69	10.04082697
70	10.04082156
71	10.03961113
72	10.03736069
73	10.0356834
74	10.03200848
75	10.0304615
76	10.02712577
77	10.0240466
78	10.022774
79	10.02015817
80	10.0180243
81	10.01632031
82	10.01554715
83	10.01434342
84	10.01203133
85	10.00986592
86	10.00860461
87	10.00741972
88	10.00595073
89	10.00544447
90	10.00380858
91	10.00187559
92	10.00072316
93	9.99849536
94	9.997225517
95	9.995859834
96	9.993480419
97	9.991498027
98	9.989695055
99	9.98967919
100	9.987523752
101	9.987512791
102	9.987512718
103	9.985637466
104	9.985302984
105	9.985277759
106	9.983897649
107	9.982399412
108	9.980455639
109	9.978264978
110	9.976580249
111	9.975569147
112	9.973667853
113	9.972009928
114	9.970619147
115	9.96859714
116	9.966028658
117	9.965907608
118	9.964959024
119	9.96246669
120	9.959528788
121	9.957591945
122	9.955398526
123	9.954613091
124	9.952803329
125	9.950524612
126	9.94928726
127	9.947910733
128	9.945950387
129	9.944873586
130	9.944246388
131	9.942596172
132	9.94258905
133	9.94058118
134	9.93780954
135	9.937570346
136	9.935925273
137	9.934527951
138	9.93181421
139	9.92985578
140	9.927676081
141	9.926023423
142	9.92488475
143	9.923129552
144	9.922832388
145	9.921609543
146	9.917870176
147	9.915748452
148	9.912663797
149	9.911198699
150	9.908866334
151	9.907600706
152	9.905723641
153	9.903071792
154	9.902861049
155	9.902533566
156	9.901038046
157	9.89968416
158	9.89773073
159	9.896552517
160	9.894517081
161	9.89347853
162	9.892079917
163	9.89047131
164	9.889705498
165	9.88725887
166	9.884657449
167	9.882051364
168	9.879679082
169	9.878661954
170	9.877138269
171	9.875628405
172	9.872951127
173	9.87079012
174	9.867876529
175	9.867492526
176	9.865024485
177	9.862467722
178	9.860960023
179	9.85918663
180	9.856913977
181	9.854932133
182	9.852153995
183	9.850012059
184	9.848324501
185	9.846484984
186	9.844494777
187	9.842972759
188	9.840439842
189	9.838365841
190	9.836936028
191	9.835179967
192	9.833260568
193	9.830828809
194	9.82948493
195	9.828158899
196	9.826087346
197	9.824830402
198	9.823159409
199	9.821263125
200	9.819175144
201	9.817853368
202	9.815967438
203	9.813817498
204	9.812069021
205	9.81000845
206	9.807377191
207	9.806665304
208	9.805158975
209	9.803216851
210	9.800742198
211	9.797866737
212	9.795360437
213	9.793764243
214	9.791886427
215	9.789978473
216	9.787783688
217	9.786035118
218	9.783636409
219	9.782507424
220	9.780910932
221	9.778670747
222	9.777739353
223	9.776236988
224	9.775310927
225	9.773096164
226	9.771927834
227	9.770929671
228	9.768337701
229	9.766001877
230	9.764731371
231	9.763703921
232	9.760935392
233	9.759717049
234	9.757080606
235	9.755179809
236	9.752677267
237	9.751562393
238	9.749648973
239	9.748592122
240	9.747635214
241	9.746763691
242	9.7445142
243	9.742910082
244	9.7414871
245	9.739616287
246	9.738728907
247	9.73743423
248	9.736125907
249	9.735284446
250	9.732891689
251	9.73160556
252	9.729117883
253	9.726285087
254	9.725282354
255	9.723527076
256	9.721986413
257	9.720010673
258	9.7184532
259	9.716697415
260	9.715634173
261	9.713865626
262	9.711957583
263	9.709699154
264	9.707473579
265	9.706002438
266	9.705445518
267	9.704588804
268	9.703130804
269	9.702054055
270	9.700671865
271	9.698406063
272	9.696883552
273	9.695349
274	9.693016061
275	9.692243088
276	9.691253124
277	9.69034233
278	9.688123614
279	9.685642169
280	9.683478789
281	9.682110852
282	9.681111792
283	9.680394707
284	9.678199917
285	9.676959659
286	9.676075297
287	9.675466795
288	9.672754024
289	9.670764218
290	9.669003049
291	9.668252794
292	9.666430485
293	9.665317715
294	9.663877017
295	9.662473623
296	9.660523192
297	9.658721292
298	9.656962604
299	9.655166444
300	9.654222044
301	9.651983538
302	9.650459155
303	9.649840787
304	9.648479954
305	9.646414628
306	9.645032947
307	9.643025891
308	9.6421446
309	9.641222193
310	9.639802879
311	9.637876101
312	9.636575959
313	9.634357574
314	9.633566959
315	9.631613011
316	9.630537887
317	9.629482361
318	9.627728454
319	9.626240972
320	9.625402021
321	9.624433366
322	9.623792665
323	9.622203149
324	9.620467938
325	9.619150677
326	9.617617447
327	9.61657749
328	9.615652268
329	9.614979531
330	9.614001628
331	9.612134755
332	9.609933267
333	9.607464523
334	9.606252163
335	9.604677596
336	9.603540699
337	9.601824087
338	9.600005136
339	9.598344006
340	9.596052423
341	9.593513692
342	9.592728143
343	9.591374624
344	9.58943638
345	9.587427008
346	9.586046863
347	9.584491139
348	9.583542422
349	9.581817902
350	9.580746087
351	9.579257675
352	9.577725113
353	9.575754636
354	9.575128772
355	9.572980615
356	9.571241411
357	9.569862631
358	9.567993331
359	9.567052073
360	9.565262093
361	9.564214554
362	9.562235564
363	9.560286598
364	9.55831907
365	9.557676014
366	9.555863254
367	9.554967816
368	9.552528413
369	9.550484991
370	9.548969738
371	9.548045828
372	9.547373483
373	9.545902622
374	9.544263777
375	9.54359387
376	9.542164269
377	9.540011154
378	9.538057177
379	9.536582818
380	9.53510721
381	9.532809977
382	9.531515921
383	9.53039887
384	9.529491762
385	9.528894041
386	9.527945667
387	9.526935471
388	9.524948079
389	9.523171029
390	9.5213723
391	9.519542867
392	9.518319395
393	9.516972759
394	9.515477066
395	9.513401633
396	9.512844231
397	9.511942648
398	9.5106262
399	9.508087698
400	9.506706095
401	9.505845076
402	9.503978643
403	9.502834306
404	9.501557386
405	9.500096182
406	9.498709547
407	9.497382355
408	9.495851662
409	9.494144359
410	9.492620379
411	9.491189287
412	9.489340683
413	9.488296001
414	9.487237073
415	9.485782223
416	9.48415377
417	9.481723708
418	9.48061966
419	9.479259787
420	9.47680234
421	9.475430731
422	9.474208657
423	9.473233329
424	9.472146214
425	9.470883567
426	9.46992849
427	9.46825405
428	9.466198839
429	9.464945404
430	9.464458524
431	9.463682404
432	9.462188726
433	9.460012609
434	9.458283766
435	9.456818898
436	9.455154393
437	9.453725071
438	9.451433582
439	9.450010329
440	9.449287104
441	9.447900421
442	9.446258066
443	9.445287236
444	9.444663637
445	9.443495238
446	9.442191479
447	9.44154025
448	9.440906354
449	9.439988728
450	9.4385768
451	9.436868684
452	9.435300663
453	9.434305233
454	9.43206541
455	9.431093727
456	9.429523297
457	9.428733481
458	9.426473778
459	9.42573663
460	9.42463186
461	9.423493994
462	9.422978397
463	9.421751269
464	9.42013206
465	9.418895251
466	9.418458355
467	9.417775242
468	9.415849173
469	9.41455671
470	9.412507707
471	9.411369886
472	9.409733262
473	9.40794226
474	9.406589254
475	9.405564947
476	9.404097227
477	9.402532824
478	9.401492131
479	9.399846668
480	9.397892741
481	9.396952758
482	9.395875043
483	9.394629481
484	9.393434749
485	9.391517408
486	9.389965029
487	9.389396492
488	9.388212172
489	9.387140995
490	9.385973384
491	9.385388938
492	9.383467974
493	9.381783461
494	9.379584409
495	9.378095436
496	9.376726944
497	9.375301975
498	9.374713524
499	9.373467603
500	9.372253932
501	9.371533667
502	9.371028011
503	9.369711063
504	9.368752786
505	9.367491181
506	9.366808792
507	9.365869231
508	9.364500382
509	9.363540465
510	9.362432939
511	9.361183327
512	9.35946609
513	9.358914344
514	9.357488416
515	9.356163426
516	9.354628928
517	9.353441331
518	9.352151243
519	9.351400121
520	9.349273607
521	9.347380317
522	9.346216961
523	9.34509927
524	9.342719347
525	9.341567808
526	9.339805456
527	9.33800025
528	9.337171931
529	9.336548944
530	9.335305766
531	9.334547539
532	9.332765599
533	9.330805554
534	9.329663764
535	9.32835728
536	9.32713181
537	9.326108383
538	9.325344632
539	9.32376407
540	9.322179309
541	9.320878878
542	9.31978732
543	9.319098088
544	9.317235145
545	9.316650582
546	9.315392141
547	9.314248554
548	9.313401665
549	9.312842261
550	9.311802438
551	9.310311092
552	9.307997085
553	9.3059328
554	9.3040436
555	9.303206273
556	9.301456947
557	9.299856015
558	9.299104269
559	9.29806542
560	9.296833752
561	9.295858574
562	9.294570395
563	9.293825758
564	9.292655312
565	9.291464485
566	9.290423946
567	9.289843621
568	9.288173168
569	9.286959317
570	9.286165303
571	9.285631166
572	9.284591652
573	9.283658723
574	9.281296831
575	9.279790108
576	9.278230287
577	9.276261718
578	9.275635179
579	9.273780434
580	9.273118792
581	9.272473768
582	9.272179144
583	9.271312964
584	9.26990192
585	9.267600776
586	9.266760268
587	9.265454569
588	9.263662767
589	9.263152168
590	9.262268847
591	9.261696677
592	9.260250371
593	9.25788455
594	9.257143152
595	9.256543444
596	9.255096169
597	9.254078095
598	9.253532281
599	9.253057796
600	9.251021585
601	9.250364908
602	9.249356902
603	9.247921052
604	9.247451362
605	9.246916353
606	9.245602989
607	9.243853835
608	9.242853017
609	9.242258093
610	9.2413114
611	9.239682502
612	9.239246175
613	9.238415333
614	9.237460905
615	9.236492187
616	9.235699463
617	9.233943757
618	9.232456261
619	9.231770805
620	9.22976248
621	9.229230556
622	9.227947087
623	9.225988239
624	9.224722875
625	9.224045748
626	9.223550751
627	9.222477071
628	9.221868325
629	9.221240648
630	9.220662474
631	9.21934698
632	9.218554132
633	9.217606902
634	9.216521279
635	9.215702405
636	9.215351835
637	9.21415666
638	9.212898504
639	9.211825613
640	9.21102594
641	9.210409917
642	9.209217933
643	9.208884929
644	9.207537479
645	9.206154951
646	9.205383505
647	9.20495987
648	9.204378911
649	9.203111372
650	9.201635783
651	9.200482526
652	9.199442483
653	9.198989831
654	9.197789019
655	9.196659322
656	9.195103957
657	9.193990602
658	9.19304976
659	9.192200928
660	9.191356797
661	9.189625143
662	9.188415926
663	9.187110132
664	9.186033183
665	9.185085891
666	9.184688112
667	9.184035922
668	9.183115824
669	9.182219999
670	9.181515635
671	9.180811712
672	9.180379255
673	9.179481691
674	9.179071603
675	9.177395295
676	9.175661043
677	9.174530885
678	9.173468298
679	9.172169102
680	9.170528218
681	9.16929685
682	9.167706547
683	9.166793696
684	9.165962935
685	9.164167571
686	9.163426654
687	9.163027272
688	9.162281285
689	9.161822073
690	9.161427355
691	9.160624274
692	9.159867565
693	9.158499078
694	9.157900916
695	9.157524256
696	9.155975796
697	9.154437488
698	9.153892868
699	9.152770066
700	9.152383385
701	9.151562091
702	9.150576633
703	9.149457418
704	9.148055177
705	9.147188684
706	9.146598294
707	9.14575808
708	9.144538221
709	9.143838809
710	9.143299462
711	9.142463355
712	9.141636641
713	9.141146244
714	9.140552435
715	9.140040946
716	9.138507201
717	9.137252658
718	9.136854738
719	9.135299964
720	9.134619219
721	9.13401137
722	9.133185958
723	9.132300318
724	9.131032617
725	9.129787924
726	9.127832416
727	9.126660528
728	9.125278597
729	9.124860977
730	9.123905214
731	9.123217671
732	9.122390506
733	9.121190296
734	9.119429504
735	9.118393746
736	9.118000146
737	9.116737704
738	9.115184152
739	9.114130388
740	9.111832718
741	9.111136723
742	9.110401814
743	9.110104241
744	9.109050489
745	9.108077202
746	9.106655213
747	9.10593817
748	9.105500035
749	9.105288798
750	9.103535614
751	9.102649174
752	9.102256956
753	9.100513945
754	9.099379216
755	9.098138292
756	9.09745574
757	9.095814219
758	9.094989424
759	9.093748011
760	9.09286149
761	9.091504028
762	9.091039658
763	9.090443823
764	9.088612547
765	9.087794253
766	9.085983928
767	9.084858514
768	9.082831646
769	9.082343576
770	9.081798408
771	9.079735023
772	9.077713105
773	9.076358235
774	9.075399019
775	9.074645432
776	9.074240301
777	9.072554491
778	9.071497419
779	9.071113339
780	9.070237322
781	9.068640962
782	9.067673579
783	9.066272411
784	9.06471941
785	9.064359852
786	9.063532026
787	9.063192459
788	9.061156386
789	9.060203698
790	9.059655316
791	9.05826431
792	9.05666017
793	9.054573785
794	9.053329278
795	9.052944864
796	9.051493434
797	9.050665501
798	9.049990536
799	9.04911475
800	9.048838479
801	9.047693873
802	9.04709431
803	9.046360803
804	9.044794834
805	9.044362755
806	9.04390594
807	9.042408687
808	9.041179437
809	9.040405643
810	9.039381516
811	9.037700945
