iter	Passed	Remaining
0	1	1606
1	4	2002
2	4	1517
3	5	1368
4	6	1289
5	7	1228
6	8	1181
7	8	1109
8	9	1077
9	10	1055
10	11	1037
11	12	1021
12	13	1020
13	14	1014
14	15	1007
15	16	1006
16	17	1006
17	18	1002
18	19	995
19	20	989
20	21	984
21	22	981
22	23	978
23	24	985
24	25	983
25	26	978
26	26	961
27	27	958
28	28	954
29	29	950
30	30	947
31	31	942
32	32	938
33	32	934
34	33	934
35	34	929
36	36	948
37	37	938
38	37	933
39	38	931
40	39	927
41	40	924
42	41	922
43	42	919
44	43	917
45	44	915
46	44	907
47	45	904
48	46	901
49	46	890
50	47	880
51	48	877
52	48	874
53	49	873
54	50	871
55	51	869
56	52	866
57	53	863
58	54	862
59	54	860
60	55	858
61	56	857
62	57	856
63	58	855
64	59	856
65	60	858
66	61	858
67	62	862
68	63	862
69	65	863
70	66	865
71	67	865
72	68	865
73	69	863
74	70	865
75	71	865
76	72	866
77	73	869
78	74	865
79	75	865
80	76	863
81	77	864
82	78	864
83	79	871
84	80	868
85	81	866
86	82	867
87	83	867
88	84	866
89	85	865
90	86	867
91	87	867
92	89	868
93	90	868
94	91	867
95	91	863
96	92	860
97	93	857
98	93	852
99	94	852
100	95	852
101	96	852
102	97	852
103	99	853
104	100	853
105	101	852
106	102	853
107	102	850
108	104	850
109	105	850
110	106	850
111	107	849
112	108	850
113	109	850
114	110	848
115	111	848
116	112	848
117	113	848
118	114	848
119	115	849
120	117	851
121	118	852
122	119	852
123	120	853
124	121	852
125	122	851
126	123	851
127	125	851
128	125	850
129	126	847
130	127	847
131	128	847
132	129	847
133	131	852
134	133	853
135	134	854
136	135	855
137	136	855
138	137	854
139	139	855
140	141	859
141	142	859
142	142	855
143	144	856
144	144	853
145	145	853
146	147	853
147	148	853
148	149	853
149	150	853
150	151	853
151	153	854
152	154	854
153	155	854
154	156	854
155	157	854
156	159	854
157	160	854
158	161	853
159	162	854
160	163	854
161	165	854
162	166	854
163	167	854
164	168	854
165	170	856
166	171	857
167	173	858
168	174	859
169	176	860
170	178	866
171	180	870
172	182	872
173	184	875
174	186	878
175	188	880
176	190	884
177	192	887
178	194	890
179	195	892
180	197	894
181	199	896
182	201	899
183	203	900
184	205	903
185	207	906
186	208	908
187	210	909
188	212	911
189	214	912
190	216	914
191	217	916
192	219	919
193	222	922
194	224	925
195	225	926
196	227	927
197	230	932
198	231	933
199	234	936
200	235	937
201	237	939
202	239	940
203	241	941
204	243	943
205	245	945
206	246	945
207	248	947
208	250	948
209	252	950
210	254	950
211	255	950
212	257	952
213	259	952
214	261	954
215	263	954
216	264	955
217	266	957
218	268	957
219	270	958
220	271	958
221	273	958
222	275	959
223	277	960
224	278	960
225	280	960
226	282	961
227	284	962
228	285	962
229	287	962
230	290	968
231	292	968
232	295	972
233	297	972
234	298	973
235	300	973
236	302	972
237	304	973
238	305	973
239	307	973
240	309	973
241	311	974
242	313	975
243	315	976
244	317	977
245	319	977
246	320	977
247	322	978
248	324	978
249	326	979
250	328	979
251	330	980
252	332	980
253	333	980
254	336	982
255	338	983
256	340	983
257	342	984
258	344	984
259	346	984
260	348	985
261	349	985
262	351	985
263	353	985
264	355	986
265	358	987
266	359	988
267	362	989
268	363	987
269	364	985
270	365	983
271	366	981
272	367	979
273	368	977
274	370	976
275	371	974
276	372	973
277	373	970
278	374	968
279	375	966
280	377	964
281	378	963
282	379	962
283	381	960
284	382	959
285	383	957
286	384	955
287	385	953
288	386	951
